artist,followers
NXVAMANE,34818
glichery,58127
MUPP,137185
SCXR SOUL,60769
ONIMXRU,181629
1nonly,924094
Isolate.exe,46931
J Balvin,37466688
Jhayco,7183040
Bacilos,1781262
Belanova,1474994
Danny Ocean,5311792
Marc Seguí,127788
Manu Chao,1615203
Jesse & Joy,8357772
Julieta Venegas,2203639
Cris Mj,1708355
Luis Fonsi,10915929
Mon Laferte,6509834
zzoilo,90857
Zion & Lennox,7597912
Carlos Baute,1885211
Daddy Yankee,33792813
Camila,4290645
Marc Anthony,9423106
Boza,508211
Manuel Medrano,2771114
Reyli Barba,1836361
Reik,8614836
Tainy,1895259
Luis Enrique,1050998
Ricardo Arjona,12397815
Miranda!,1485875
Beéle,610484
Sin Bandera,5872919
Chance Peña,234386
Mac DeMarco,5084687
Noah Cyrus,1241034
Bailey Zimmerman,845331
Yahritza Y Su Esencia,767737
Gracie Abrams,1442359
Rod Wave,6271910
Myles Smith,219229
SLANDER,459149
Sara Kays,404056
Sadie Jean,195070
Matt Hansen,356539
Madison Beer,6130370
ZWE1HVNDXR,102630
Bibi Babydoll,161182
6YNTHMANE,87032
xxanteria,93215
LXNGVX,63962
akiaura,53968
phonk.me,154797
DJ FLG,12868
MoonDeity,384569
Hensonn,195636
RXDXVIL,92023
CURSEDEVIL,107530
Lumi Athena,824473
YOUTHISENDING,40985
The Goo Goo Dolls,2674518
Guns N' Roses,30299463
TOTO,2793058
ABBA,11432831
Eurythmics,1869018
JAY-Z,8790297
WALK THE MOON,2106714
Ava Max,6367347
blink-182,7948552
salvia palth,894374
Cleffy,32987
Mr.Kitty,660191
Stevie Wonder,6324529
New West,333930
Christina Perri,3730451
Elvis Presley,9005273
Fujii Kaze,2881910
Tom Rosenthal,539242
Ben E. King,566025
keshi,3285613
NIKI,3345330
JP Saxe,481406
Forest Blakk,133845
Jordan Davis,1115971
Megan Moroney,209545
Pinegrove,328503
Lil Peep,11294285
Red Velvet,8957189
wave to earth,1528636
Pharrell Williams,4330907
¥$,216186
Estelle,272534
The Outfield,604668
Bronski Beat,547556
Billy Gillies,37880
Jessie J,11634016
Jason Derulo,11934536
Cage The Elephant,3501174
Hoobastank,2460946
Fall Out Boy,10408359
Rage Against The Machine,5742680
Thirty Seconds To Mars,3444606
The Black Keys,3904442
System Of A Down,9982168
Incubus,3155891
Jet,564441
Third Eye Blind,1522187
Isabel LaRosa,763486
50 Cent,13265584
Borges,1025859
Chefin,2050324
MC PH,1339821
Orochi,4406408
MC Cabelinho,6648331
Veigh,3107042
KayBlack,2513573
Vulgo FK,747909
Matuê,9794340
Mariah Carey,9595071
Richard Marx,1269097
Extreme,571491
Trueno,5367537
La Santa Grifa,4931242
Lil Durk,6815204
Kenia OS,4197516
TINI,7352414
Sebastian Yatra,22501747
Clovis Reyes,98990
6arelyhuman,707698
Young Thug,9325140
Buffalo Springfield,783413
Creedence Clearwater Revival,6264383
Eagles,10223132
Smash Mouth,1028595
No Doubt,2662108
The Turtles,586065
Wallows,2597886
Clairo,4400709
Portugal. The Man,1418708
Faye Webster,899887
Bakar,502649
Phoebe Bridgers,2128068
Rex Orange County,5784058
Riton,123208
Nadhif Basalamah,255956
Batas Senja,92502
The Lantis,15584
Mahalini,10415710
Ghea Indrawari,1292816
Idgitaf,1330395
Donne Maula,17452
Awdella,327146
Aan Story,21759
Salma Salsabil,106346
Anggi Marito,876442
Nadin Amizah,3249447
Chief Keef,4377173
Waka Flocka Flame,2687722
Kodak Black,10049490
A Boogie Wit da Hoodie,7907396
GoldLink,871036
Rob $tone,257326
Fetty Wap,4558628
LATIN MAFIA,684240
Lah Pat,39175
Kelly Clarkson,10276073
Wham!,2599333
Brenda Lee,368414
Michael Bublé,6095289
Cher,3208178
Gwen Stefani,6340553
Jonas Brothers,7377605
*NSYNC,2217322
Leona Lewis,3547464
Jimmy Fallon,61749
Hanson,480441
Alessia Cara,11856022
Dan + Shay,3100501
Destiny's Child,6877806
Bruce Springsteen,6014468
Bing Crosby,490566
John Lennon,5797194
Band Aid,30938
Paul McCartney,4636607
4 Non Blondes,482591
Cassie,1532919
T-Pain,4606053
Ashanti,2914003
$uicideboy$,6528895
80purppp,152595
Kxllswxtch,224043
BigXthaPlug,330665
Halsey,21240017
Ali Gatie,2092700
American Authors,1558801
Humbe,996486
Hev Abi,272488
Nateman,233891
Oliver Tree,2385431
Becky Hill,727755
Manuel Turizo,13351856
Carin Leon,9529242
Christian Nodal,14164666
Saiko,494166
Mrs. GREEN APPLE,3270274
Morat,10305692
Naeleck,65415
MF DOOM,2534015
The Game,4805127
TLC,3810750
Galantis,3359211
Iniko,580301
Davido,4136836
Ken Carson,995572
YNW Melly,9957270
Gucci Mane,5207457
Jessie Murph,781611
King Gnu,3147998
YOASOBI,7009728
Clara La San,134520
Morad,2453482
Tiakola,1629152
SDM,764815
Soolking,5019939
Pashanim,617771
AVA,77419
Seafret,915427
KISS,9140127
Lynyrd Skynyrd,4950582
Yusuf / Cat Stevens,1841946
Daryl Hall & John Oates,2287076
David Bowie,10063706
Aerosmith,13969839
Victoria Monét,881730
Jimi Hendrix,6488261
Natalia Lafourcade,4304769
Pablo Alborán,4990747
Gazo,2229178
Favé,296207
Werenoi,580042
5 Seconds of Summer,9788312
Mike Posner,1364778
Mr. Probz,332062
Hailee Steinfeld,8867126
Tones And I,2988749
Vundabar,365138
WILLOW,2395584
The Backseat Lovers,578001
Akon,4174049
dhruv,572417
Devano,725340
Jaz,954652
